清单,名称,UI命中面数,GP命中面数,UI命中面,GP命中面
CodeBuddyFuncs,DoLeftClick,0,0,,
CodeBuddyFuncs,DropFocus,0,0,,
CodeBuddyFuncs,EnableControlsByIdOrTag,1,0,UITutorialManager,
CodeBuddyFuncs,EnableDebugOutline,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,EnableOverlay,1,0,UITutorialManager,
CodeBuddyFuncs,EnableToolTip,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,EnableTooltipAtPos,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,EnableTouchScrolling,0,0,,
CodeBuddyFuncs,FindDataSet,0,1,,GameSummary
CodeBuddyFuncs,FindIconAtlas,1,0,IconManager,
CodeBuddyFuncs,FindIconAtlasNearestSize,1,0,IconManager,
CodeBuddyFuncs,FlipX,0,0,,
CodeBuddyFuncs,FlipY,0,0,,
CodeBuddyFuncs,ForceClose,0,0,,
CodeBuddyFuncs,ForceSetFocus,0,0,,
CodeBuddyFuncs,GamepadEnableTooltips,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GamepadUpdateTooltips,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetAbsoluteScrollValue,0,0,,
CodeBuddyFuncs,GetAlpha,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetAnchor,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetBaseFileName,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,GetBatteryLevel,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetBestOverlappingControl,0,0,,
CodeBuddyFuncs,GetButtonIconText,0,0,,
CodeBuddyFuncs,GetChildren,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetConsumeMouseButton,3,0,"TunerUtilities, __SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetConsumeMouseOver,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetConsumeMouseWheel,3,0,"TunerUtilities, __SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetContext,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetContextParameters,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,GetControl,0,0,,
CodeBuddyFuncs,GetControlUnderMouse,3,0,"TunerUtilities, UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetCoordX,0,0,,
CodeBuddyFuncs,GetCoordY,0,0,,
CodeBuddyFuncs,GetCurrentSubButton,0,0,,
CodeBuddyFuncs,GetCycleType,0,0,,
CodeBuddyFuncs,GetDeltaX,0,0,,
CodeBuddyFuncs,GetDeltaY,0,0,,
CodeBuddyFuncs,GetDownButton,0,0,,
CodeBuddyFuncs,GetEndX,0,0,,
CodeBuddyFuncs,GetEndY,0,0,,
CodeBuddyFuncs,GetEntries,0,0,,
CodeBuddyFuncs,GetFilePath,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetFlags,0,0,,
CodeBuddyFuncs,GetFontFamilyFromStyle,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetFontSize,0,0,,
CodeBuddyFuncs,GetGestureDistance,1,0,TouchManager,
CodeBuddyFuncs,GetGestureStartDistanceThreshold,1,0,TouchManager,
CodeBuddyFuncs,GetGrid,0,0,,
CodeBuddyFuncs,GetID,2,1,"__SC.C_ContextPtr, __SC.C_Control",WorldBuilder
CodeBuddyFuncs,GetIndexedEntry,0,0,,
CodeBuddyFuncs,GetIsBatteryCharging,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetKey,0,0,,
CodeBuddyFuncs,GetLastFrameNum,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetLastTimeDelta,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetLayout,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetLeftButton,0,0,,
CodeBuddyFuncs,GetLuaFileName,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,GetMaxCharacters,0,0,,
CodeBuddyFuncs,GetMessageType,0,0,,
CodeBuddyFuncs,GetModalContexts,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetMouseDX,0,0,,
CodeBuddyFuncs,GetMouseDY,0,0,,
CodeBuddyFuncs,GetMouseDelta,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetMouseOverControls,3,0,"TunerUtilities, UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetMouseOverWorld,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetMousePos,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetName,0,0,,
CodeBuddyFuncs,GetNormalDeltaX,0,0,,
CodeBuddyFuncs,GetNormalDeltaY,0,0,,
CodeBuddyFuncs,GetNormalX,0,0,,
CodeBuddyFuncs,GetNormalY,0,0,,
CodeBuddyFuncs,GetNormalizedMousePos,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetNumChildren,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetNumSteps,0,0,,
CodeBuddyFuncs,GetNumberInput,0,0,,
CodeBuddyFuncs,GetOffsetVal,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetOffsetX,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetOffsetY,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetParent,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetParentByID,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetParentByType,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetParentRelativeOffset,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetParentRelativeSizeVal,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetParentRelativeSizeX,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetParentRelativeSizeY,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetPath,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetPauseTime,0,0,,
CodeBuddyFuncs,GetPercent,0,0,,
CodeBuddyFuncs,GetPopupParameters,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,GetPopupStack,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetProgress,0,0,,
CodeBuddyFuncs,GetRatio,0,0,,
CodeBuddyFuncs,GetRightButton,0,0,,
CodeBuddyFuncs,GetRootContexts,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetRows,0,0,,
CodeBuddyFuncs,GetScreenOffset,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetScreenSizeVal,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,GetScrollBar,0,0,,
CodeBuddyFuncs,GetScrollPanel,0,0,,
CodeBuddyFuncs,GetScrollValue,0,0,,
CodeBuddyFuncs,GetSelectedEntry,0,0,,
CodeBuddyFuncs,GetSelectedIndex,0,0,,
CodeBuddyFuncs,GetSelectedTab,0,0,,
CodeBuddyFuncs,GetSelectedTabID,0,0,,
CodeBuddyFuncs,GetSize,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetSizeVal,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetSizeX,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetSizeY,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetStack,0,0,,
CodeBuddyFuncs,GetStackPadding,0,0,,
CodeBuddyFuncs,GetStartX_float,0,0,,
CodeBuddyFuncs,GetStartX_int,0,0,,
CodeBuddyFuncs,GetStartY_float,0,0,,
CodeBuddyFuncs,GetStartY_int,0,0,,
CodeBuddyFuncs,GetStep,0,0,,
CodeBuddyFuncs,GetStickType,0,0,,
CodeBuddyFuncs,GetStickX,0,0,,
CodeBuddyFuncs,GetStickY,0,0,,
CodeBuddyFuncs,GetTag,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetTextButton,0,0,,
CodeBuddyFuncs,GetTextControl,1,0,UI,
CodeBuddyFuncs,GetTextLength,0,0,,
CodeBuddyFuncs,GetTexture,1,0,TunerUtilities,
CodeBuddyFuncs,GetTextureName,0,0,,
CodeBuddyFuncs,GetTextureSizeVal,0,0,,
CodeBuddyFuncs,GetToolTipDelay,1,0,TTManager,
CodeBuddyFuncs,GetToolTipPoint,1,0,TouchManager,
CodeBuddyFuncs,GetToolTipString,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,GetTouchID,0,0,,
CodeBuddyFuncs,GetTouchPointCount,1,0,TouchManager,
CodeBuddyFuncs,GetTouchPointDeltaFromStart,1,0,TouchManager,
CodeBuddyFuncs,GetTouchPointIDByIndex,1,0,TouchManager,
CodeBuddyFuncs,GetTouchPointLocation,1,0,TouchManager,
CodeBuddyFuncs,GetTouchPointMaxDeltaFromStart,1,0,TouchManager,
CodeBuddyFuncs,GetTypeControlTable,1,0,TTManager,
CodeBuddyFuncs,GetUpButton,0,0,,
CodeBuddyFuncs,GetValue,4,1,"GameConfiguration, MapConfiguration, PlayerConfiguration, UserConfiguration",GameConfiguration
CodeBuddyFuncs,GetVoid1,0,0,,
CodeBuddyFuncs,GetVoid2,0,0,,
CodeBuddyFuncs,GetWheel,0,0,,
CodeBuddyFuncs,GetWidth,0,0,,
CodeBuddyFuncs,GetWorldPosition,0,0,,
CodeBuddyFuncs,GetX,0,0,,
CodeBuddyFuncs,GetY,0,0,,
CodeBuddyFuncs,GrantedMouseOver,0,0,,
CodeBuddyFuncs,HasEntries,0,0,,
CodeBuddyFuncs,HasFocus,0,0,,
CodeBuddyFuncs,HasMouseOver,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,HasTexture,0,0,,
CodeBuddyFuncs,HasTouchOver,0,0,,
CodeBuddyFuncs,HideAll,3,0,"UIManager, UITutorialManager, __SC.C_UIManager",
CodeBuddyFuncs,HideAll_bool,0,0,,
CodeBuddyFuncs,HideControlsByID,1,0,UITutorialManager,
CodeBuddyFuncs,HideScrollBar,0,0,,
CodeBuddyFuncs,HighlightColoredHexes,0,0,,
CodeBuddyFuncs,HighlightHexes,0,0,,
CodeBuddyFuncs,IncrementPause,0,0,,
CodeBuddyFuncs,InitializeStyles,0,0,,
CodeBuddyFuncs,IsAbsoluteScrollEnabled,0,0,,
CodeBuddyFuncs,IsActive,1,3,UITutorialManager,"Automation, AutoplayManager, WorldBuilder"
CodeBuddyFuncs,IsAltDown,0,0,,
CodeBuddyFuncs,IsAnyButtonDown,0,0,,
CodeBuddyFuncs,IsAnyGestureStarted,1,0,TouchManager,
CodeBuddyFuncs,IsChannelActive,0,0,,
CodeBuddyFuncs,IsChecked,0,0,,
CodeBuddyFuncs,IsControlDown,0,0,,
CodeBuddyFuncs,IsDisabled,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,IsDown,0,0,,
CodeBuddyFuncs,IsDrag,0,0,,
CodeBuddyFuncs,IsDrop,0,0,,
CodeBuddyFuncs,IsEnabled,2,0,"__SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,IsExtendedFont,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsFlippedHorizontal,0,0,,
CodeBuddyFuncs,IsGamepadActive,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsGamepadConnected,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsGamepadSupported,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsGamepadToolTipOn,1,0,TTManager,
CodeBuddyFuncs,IsHidden,3,0,"PlayerConfiguration, __SC.C_ContextPtr, __SC.C_Control",
CodeBuddyFuncs,IsHideAll,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsHotLoad,1,0,__SC.C_ContextPtr,
CodeBuddyFuncs,IsInAnyGesture,1,0,TouchManager,
CodeBuddyFuncs,IsInGesture,1,0,TouchManager,
CodeBuddyFuncs,IsInPause,0,0,,
CodeBuddyFuncs,IsInPopupQueue,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsLButtonDown,0,0,,
CodeBuddyFuncs,IsMButtonDown,0,0,,
CodeBuddyFuncs,IsModal,4,0,"UIManager, __SC.C_ContextPtr, __SC.C_Control, __SC.C_UIManager",
CodeBuddyFuncs,IsModal_alt,0,0,,
CodeBuddyFuncs,IsNull,0,0,,
CodeBuddyFuncs,IsOffBottom,0,0,,
CodeBuddyFuncs,IsOpen,1,0,PopupDialog,
CodeBuddyFuncs,IsOverlayEnabled,2,0,"Steam, UITutorialManager",
CodeBuddyFuncs,IsPlaying,0,0,,
CodeBuddyFuncs,IsPopupQueueDisabled,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsPopupQueueEmpty,2,0,"UIManager, __SC.C_UIManager",
CodeBuddyFuncs,IsRButtonDown,0,0,,
CodeBuddyFuncs,IsReversing,0,0,,
