对象/命名空间,GP方法数,UI方法数,共有,仅GP,仅UI,仅GP清单,仅UI清单
C_Game_P_GetEras,3,28,2,1,26,ChangePlayerEraScore,GetCurrentEraMaximumEndTurn GetCurrentEraMinimumEndTurn GetCurrentEraNumPlayersAsOrLessAdvanced GetCurrentEraNumPlayersMoreAdvanced GetCurrentEraStartTurn GetFinalEra GetNextEraCountdown GetPlayerActiveCommemorations GetPlayerCommemorateChoices GetPlayerComplimentChoices GetPlayerCurrentEraScoreBreakdown GetPlayerCurrentScore GetPlayerDarkAgeThreshold GetPlayerDarkAgeThresholdBreakdown GetPlayerGoldenAgeThreshold GetPlayerGoldenAgeThresholdBreakdown GetPlayerNumAllowedCommemorations GetPlayerPreviousDarkAgeThreshold GetPlayerPreviousEraScoreBreakdown GetPlayerPreviousGoldenAgeThreshold GetPlayerPreviousScore GetPlayerThresholdBaseline HasDarkAge HasGoldenAge HasHeroicGoldenAge IsPlayerAlwaysAllowedCommemorationQuest
C_Game_P_GetFalloutManager,12,9,7,5,2,AddFallout RemoveFallout SetFalloutDamageOverride SetFalloutPreventsWork SetFalloutTurnsRemaining,GetReactorAccidentThreshold GetReactorAge
C_Game_P_GetGameDiplomacy,5,7,4,1,3,SetAlliesShareVisFlag,GetAllianceBenefitsString GetDenounceTimeLimit GetMinPeaceDuration
C_Game_P_GetGossipManager,0,2,0,0,2,,GetRecentVisibleGossipStrings TypeName
C_Game_P_GetGreatPeople,12,11,8,4,3,CreatePerson GrantPerson IsClassAvailable RecruitPerson,CountPeopleReceivedByPlayer GetEarnConditionsText GetPastTimeline
C_Game_P_GetHeroesManager,5,7,2,3,5,CreateHero PlayerDiscoverNextHero SetHeroDiscovered,GetHeroClaimPlayer GetHeroClassBaseCharges GetHeroOriginCityID GetPlayerHeroOriginBuildingType GetUnitHeroClass
C_Game_P_GetHistoryManager,0,7,0,0,7,,GetAllMomentsData GetMomentCount GetMomentData GetMomentType HasPrideMoments TypeName WritePrideMomentInfo
C_Game_P_GetNationalParks,0,8,0,0,8,,EnumerateNationalParks GetAtIndex GetAtLocation GetCount GetNationalParkName GetPossibleParkTiles IsNationalPark TypeName
C_Game_P_GetQuestsManager,2,5,2,0,3,,GetActiveQuestDescription GetActiveQuestName GetActiveQuestReward
C_Game_P_GetReligion,14,10,8,6,2,AddBelief AddBeliefHash AddBuilding FoundPantheon FoundPantheonHash FoundReligion,GetMinimumFaithNextPantheon GetName
C_Game_P_GetTechs,0,2,0,0,2,,GetActiveTechNodes TypeName
C_Game_P_GetTradeManager,21,25,21,0,4,,CalculateDestinationReligiousPressureFromPotentialRoute CalculateOriginReligiousPressureFromPotentialRoute GetTradeRoutePath IsRouteAllowed
C_Game_P_GetWorldCongress,0,10,0,0,10,,GetEmergencies GetMeetingStatus GetPreviousVotesOnResolution GetProposals GetResolutions GetReview GetTurnsUntilSpecialSessionAllowed GetVotesandFavorCost IsInSession TypeName
C_Player,49,46,29,20,17,AttachModifierByID ChangeScoringScenario1 ChangeScoringScenario2 ChangeScoringScenario3 GetAi_Diplomacy GetAi_Military GetAi_Religion GetEras GetScoringScenario1 GetScoringScenario2 GetScoringScenario3 GetStartingPlot GrantWMDs GrantYield IsInitialized SetProperty SetScoringScenario1 SetScoringScenario2 SetScoringScenario3 SetStartingPlot,CanUnreadyTurn GetAgendaTypes GetAgendasAndVisibilities GetCategoryScore GetCivilianLoyalty GetDiplomaticAI GetFavor GetFavorEnteringCongress GetFavorPerTurn GetFavorPerTurnToolTip GetGrandStrategicAI GetImprovements GetInfluenceMap GetProperties IsAI IsFreeCities IsMinor
