库表,GP,UI
GlobalParameters,userdata,userdata
GoodyHutSubTypes,userdata,userdata
GoodyHutSubTypes_XP2,userdata,userdata
GoodyHuts,userdata,userdata
Gossips,userdata,userdata
GovernmentBonusNames,userdata,userdata
GovernmentModifiers,userdata,userdata
GovernmentSlots,userdata,userdata
GovernmentTiers,userdata,userdata
Government_SlotCounts,userdata,userdata
Governments,userdata,userdata
Governments_XP2,userdata,userdata
GovernorModifiers,userdata,userdata
GovernorPromotionConditions,userdata,userdata
GovernorPromotionModifiers,userdata,userdata
GovernorPromotionPrereqs,userdata,userdata
GovernorPromotionSets,userdata,userdata
GovernorPromotions,userdata,userdata
GovernorReplaces,userdata,userdata
Governors,userdata,userdata
GovernorsCannotAssign,userdata,userdata
Governors_XP2,userdata,userdata
GreatPersonClasses,userdata,userdata
GreatPersonIndividualActionModifiers,userdata,userdata
GreatPersonIndividualBirthModifiers,userdata,userdata
GreatPersonIndividualIconModifiers,userdata,userdata
GreatPersonIndividuals,userdata,userdata
GreatWorkModifiers,userdata,userdata
GreatWorkObjectTypes,userdata,userdata
GreatWorkSlotTypes,userdata,userdata
GreatWork_ValidSubTypes,userdata,userdata
GreatWork_YieldChanges,userdata,userdata
GreatWorks,userdata,userdata
GreatWorks_ImprovementType,userdata,userdata
GreatWorks_MODE,userdata,userdata
Happinesses,userdata,userdata
Happinesses_XP1,userdata,userdata
HeroClassProgressions,userdata,userdata
HeroClassUnitCommands,userdata,userdata
HeroClasses,userdata,userdata
HistoricRankings,userdata,userdata
HistoricalAgendas,userdata,userdata
ImprovementModifiers,userdata,userdata
Improvement_Adjacencies,userdata,userdata
Improvement_BonusYieldChanges,userdata,userdata
Improvement_InvalidAdjacentFeatures,userdata,userdata
Improvement_Tourism,userdata,userdata
Improvement_ValidAdjacentResources,userdata,userdata
Improvement_ValidAdjacentTerrains,userdata,userdata
Improvement_ValidBuildUnits,userdata,userdata
Improvement_ValidFeatures,userdata,userdata
Improvement_ValidResources,userdata,userdata
Improvement_ValidTerrains,userdata,userdata
Improvement_YieldChanges,userdata,userdata
Improvement_YieldsOutsideTerritories,userdata,userdata
Improvements,userdata,userdata
Improvements_MODE,userdata,userdata
Improvements_XP2,userdata,userdata
InterfaceModes,userdata,userdata
Kinds,userdata,userdata
LeaderAnimations,userdata,userdata
LeaderInfo,userdata,userdata
LeaderQuotes,userdata,userdata
LeaderTraits,userdata,userdata
Leaders,userdata,userdata
Leaders_XP2,userdata,userdata
LoadingInfo,userdata,userdata
