id,类型,命名空间/类,方法,子方法,调用形态,文档可用性,来源,路径类别,探测表达式,修正表达式,GP状态,GP存在,GP真名,GP近似名,GP备注,UI状态,UI存在,UI真名,UI近似名,UI备注,其它UI状态,实际范围,一致性判定,参数,返回
Q-PlayerGetGovernorsIsGovernCityState,QUERY,Player,GetGovernors,IsGovernCityState,Colon (Instance),Both,objects,colon-sub,__SC.C_Player_P_GetGovernors.IsGovernCityState,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,,经 instance:local#0 检查：无此方法,,双端未见,文档偏宽：双端均未见,,[True/False]:::boolean
Q-PlayerGetGovernorsGetGovernorGetComponentID,QUERY,Player,GetGovernors,GetGovernorGetComponentID,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorGetComponentID,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorHasPromotion,QUERY,Player,GetGovernors,GetGovernorHasPromotion,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorHasPromotion,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,[True/False]:::boolean
Q-PlayerGetGovernorsGetGovernorGetOwner,QUERY,Player,GetGovernors,GetGovernorGetOwner,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorGetOwner,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorCanAssignToMajorCiv,QUERY,Player,GetGovernors,GetGovernorCanAssignToMajorCiv,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorCanAssignToMajorCiv,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorGetNeutralizedTurns,QUERY,Player,GetGovernors,GetGovernorGetNeutralizedTurns,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorGetNeutralizedTurns,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorGetIdentityPressure,QUERY,Player,GetGovernors,GetGovernorGetIdentityPressure,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorGetIdentityPressure,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorGetType,QUERY,Player,GetGovernors,GetGovernorGetType,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorGetType,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorIsGovernCityState,QUERY,Player,GetGovernors,GetGovernorIsGovernCityState,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorIsGovernCityState,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,[True/False]:::boolean
Q-PlayerGetGovernorsGetGovernorIsEstablished,QUERY,Player,GetGovernors,GetGovernorIsEstablished,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorIsEstablished,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorGetTurnsOnSite,QUERY,Player,GetGovernors,GetGovernorGetTurnsOnSite,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorGetTurnsOnSite,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorGetID,QUERY,Player,GetGovernors,GetGovernorGetID,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorGetID,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetGovernorsGetGovernorGetName,QUERY,Player,GetGovernors,GetGovernorGetName,Colon (Instance),UI,objects,colon-sub,__SC.C_Player_P_GetGovernors.GetGovernorGetName,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,GetGovernor,经 instance:local#0 检查：无此方法｜三层压平：真路径需 GetGovernor(i) 取对象，本次未取到该层实例,,双端未见,文档存疑：UI 未见,,
Q-PlayerGetResourcesGetResourceImportedPerTurn,QUERY,Player,GetResources,GetResourceImportedPerTurn,Colon (Instance),Both,objects,colon-sub,__SC.C_Player_P_GetResources.GetResourceImportedPerTurn,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,,经 instance:local#0 检查：无此方法,,双端未见,文档偏宽：双端均未见,,
Q-PlayerGetTechsHasBeenBoosted,QUERY,Player,GetTechs,HasBeenBoosted,Colon (Instance),Both,objects,colon-sub,__SC.C_Player_P_GetTechs.HasBeenBoosted,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,,经 instance:local#0 检查：无此方法,,双端未见,文档偏宽：双端均未见,,[True/False]:::boolean
A-PlayerGetUnitsSetMilitaryFormation,ACTION,Player,GetUnits,SetMilitaryFormation,Colon (Instance),Both,objects,colon-sub,__SC.C_Player_P_GetUnits.SetMilitaryFormation,,nil,否,,,经 instance:local#0 检查：无此方法,nil,否,,,经 instance:local#0 检查：无此方法,,双端未见,文档偏宽：双端均未见,,
