命名空间,GP类型,UI类型,GP可见,UI可见,GP键数,UI键数,GP受保护元表,UI受保护元表
Locale,table,table,是,是,0,0,是,是
Map,table,table,是,是,0,0,,
MapConfiguration,table,table,是,是,0,0,,
MapFeatureManager,table,table,是,是,0,0,,
MapPinConfiguration,nil,nil,否,否,0,0,,
MapRoutes,table,table,是,是,0,0,,
Map_GreatPersonClasses,nil,nil,否,否,0,0,,
Map_GreatPersonPoints,nil,nil,否,否,0,0,,
Map_TradeRoutes,nil,nil,否,否,0,0,,
Matchmaking,nil,table,否,是,0,0,,是
Modding,nil,table,否,是,0,0,,是
ModifierArguments,nil,nil,否,否,0,0,,
ModifierStrings,nil,nil,否,否,0,0,,
Modifiers,nil,nil,否,否,0,0,,
Moments,nil,nil,否,否,0,0,,
NamedLakes,nil,nil,否,否,0,0,,
NaturalWonderAdjacencies,nil,nil,否,否,0,0,,
NaturalWonderGenerator,nil,table,否,是,0,0,,
NaturalWonderTypeAdjacencies,nil,nil,否,否,0,0,,
Network,nil,table,否,是,0,0,,是
Notification,nil,nil,否,否,0,0,,
NotificationManager,table,table,是,是,0,0,,
Notifications,nil,nil,否,否,0,0,,
ObsoletePolicies,nil,nil,否,否,0,0,,
Options,nil,table,否,是,0,0,,是
Path,table,table,是,是,0,0,是,是
Player,table,nil,是,否,0,0,,
PlayerColors,nil,nil,否,否,0,0,,
PlayerConfiguration,table,table,是,是,0,0,,
PlayerManager,table,table,是,是,0,0,,
PlayerVisibility,table,nil,是,否,0,0,,
PlayerVisibilityManager,table,table,是,是,0,0,,
Plot,table,table,是,是,0,0,,
Policies,nil,nil,否,否,0,0,,
Policies_XP1,nil,nil,否,否,0,0,,
PolicyModifiers,nil,nil,否,否,0,0,,
PopupDialog,nil,table,否,是,0,0,,
PopupDialogInGame,nil,table,否,是,0,0,,
Project_GreatPersonPoints,nil,nil,否,否,0,0,,
Project_YieldConversions,nil,nil,否,否,0,0,,
Projects,nil,nil,否,否,0,0,,
Projects_XP1,nil,nil,否,否,0,0,,
PseudoYields,nil,nil,否,否,0,0,,
PullDownInstanceManager,nil,table,否,是,0,0,,
RandomAgendas,nil,nil,否,否,0,0,,
Relationship,nil,nil,否,否,0,0,,
Religions,nil,nil,否,否,0,0,,
ReportingEvents,table,table,是,是,0,0,,
RequirementArguments,nil,nil,否,否,0,0,,
RequirementSetRequirements,nil,nil,否,否,0,0,,
RequirementSets,nil,nil,否,否,0,0,,
RequirementStrings,nil,nil,否,否,0,0,,
Requirements,nil,nil,否,否,0,0,,
ResourceBuilder,table,nil,是,否,0,0,,
Resource_Consumption,nil,nil,否,否,0,0,,
Resource_Harvests,nil,nil,否,否,0,0,,
Resource_YieldChanges,nil,nil,否,否,0,0,,
Resources,nil,nil,否,否,0,0,,
RiverManager,table,table,是,是,0,0,,
RouteBuilder,table,nil,是,否,0,0,,
Routes,nil,nil,否,否,0,0,,
Routes_XP2,nil,nil,否,否,0,0,,
ScoringCategories,nil,nil,否,否,0,0,,
ScoringLineItems,nil,nil,否,否,0,0,,
Search,nil,table,否,是,0,0,,是
SimUnitSystem,nil,table,否,是,0,0,,
StartBiasFeatures,nil,nil,否,否,0,0,,
StartBiasResources,nil,nil,否,否,0,0,,
StartBiasTerrains,nil,nil,否,否,0,0,,
StartEras,nil,nil,否,否,0,0,,
StartPositioner,table,nil,是,否,0,0,,
StartingBuildings,nil,nil,否,否,0,0,,
Steam,nil,table,否,是,0,0,,是
Strategies,nil,nil,否,否,0,0,,
StrategyConditions,nil,nil,否,否,0,0,,
Strategy_Priorities,nil,nil,否,否,0,0,,
TTManager,nil,table,否,是,0,0,,
Tags,nil,nil,否,否,0,0,,
Technologies,nil,nil,否,否,0,0,,
Technologies_XP2,nil,nil,否,否,0,0,,
TechnologyModifiers,nil,nil,否,否,0,0,,
TechnologyPrereqs,nil,nil,否,否,0,0,,
TechnologyQuotes,nil,nil,否,否,0,0,,
TerrainBuilder,table,nil,是,否,0,0,,
TerrainManager,table,table,是,是,0,0,,
Terrains,nil,nil,否,否,0,0,,
Territories,table,table,是,是,0,0,,
Tests.End,ERR,ERR,否,否,,,,
Tests.PauseGame,ERR,ERR,否,否,,,,
Tests.QuitApp,ERR,ERR,否,否,,,,
Tests.QuitGame,ERR,ERR,否,否,,,,
ToolTipHelper,nil,table,否,是,0,0,,
Tools,nil,nil,否,否,0,0,,
TouchManager,nil,table,否,是,0,0,,
TraitModifiers,nil,nil,否,否,0,0,,
Traits,nil,nil,否,否,0,0,,
TreeData,nil,nil,否,否,0,0,,
TunerUtilities,nil,table,否,是,0,0,,
TypeProperties,nil,nil,否,否,0,0,,
TypeTags,nil,nil,否,否,0,0,,
Types,nil,nil,否,否,0,0,,
UI,nil,table,否,是,0,0,,是
UILens,nil,table,否,是,0,0,,是
UIManager,nil,table,否,是,0,0,,
UITree,nil,table,否,是,0,0,,是
UITutorialManager,nil,table,否,是,0,0,,
Unit,table,nil,是,否,0,0,,
UnitAbilities,nil,nil,否,否,0,0,,
UnitAbilityModifiers,nil,nil,否,否,0,0,,
UnitAiInfos,nil,nil,否,否,0,0,,
UnitCaptures,nil,nil,否,否,0,0,,
UnitCommands,nil,nil,否,否,0,0,,
UnitManager,table,table,是,是,0,0,,
UnitNames,nil,nil,否,否,0,0,,
UnitOperations,nil,nil,否,否,0,0,,
UnitPromotionClasses,nil,nil,否,否,0,0,,
UnitPromotionModifiers,nil,nil,否,否,0,0,,
UnitPromotionPrereqs,nil,nil,否,否,0,0,,
UnitPromotions,nil,nil,否,否,0,0,,
UnitReplaces,nil,nil,否,否,0,0,,
Units,table,table,是,是,0,0,,
Units_XP2,nil,nil,否,否,0,0,,
UserConfiguration,nil,table,否,是,0,0,,
Victories,nil,nil,否,否,0,0,,
VotedEffects,nil,nil,否,否,0,0,,
WMDs,nil,nil,否,否,0,0,,
WorldBuilder,table,table,是,是,0,0,,
WorldBuilderResourceGenerator,nil,nil,否,否,0,0,,
WorldView,nil,table,否,是,0,0,,
Yields,nil,nil,否,否,0,0,,
g_ToolTipGenerators,nil,table,否,是,0,0,,
json,nil,nil,否,否,0,0,,
math,table,table,是,是,0,0,是,是
os,table,table,是,是,0,0,是,是
serialize,table,table,是,是,0,0,,
